StartDate,reading,Duration,Progress,Finished,Q42,Q43,Q1,Q1_7_TEXT,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17,Q18,Q46
2024-08-14 14:12:15,11,455,100,TRUE,Agree,Discord/Slack/other DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,10,Know it well,Know a little,Heard of it,Heard of it,Know a little,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",strongly disagree,strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,strongly disagree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Somewhat agree,strongly disagree,strongly disagree,Somewhat disagree,Somewhat disagree,strongly disagree,Strongly agree,,,
2024-08-15 12:19:10,13,138,100,TRUE,Agree,Discord/Slack/other DM,Industry engineer or researcher in AI/ML/related field,,5,Know a little,Know a little,Never heard of it,Never heard of it,Know a little,Never heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,strongly disagree,Somewhat agree,Neither agree nor disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,
2024-08-08 23:27:30,13,196,76,FALSE,Agree,Email,Industry engineer or researcher in AI/ML/related field,,0,Know it well,Know it well,Know a little,Know a little,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,
2024-08-16 5:02:33,11,321,100,TRUE,Agree,Email,Industry engineer or researcher in AI/ML/related field,,2,Know a fair amount,Know a fair amount,Never heard of it,Know a fair amount,Know it well,Know a little,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,strongly disagree,Somewhat disagree,,"There is no evidence, just the usual dramatic narrativization of events.",
2024-08-09 6:35:06,0,47,18,FALSE,Agree,LinkedIn DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16 14:09:20,7,867,100,TRUE,Agree,Discord/Slack/other DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2,Know it well,Know it well,Know it well,Know a little,Know it well,Know it well,Know a little,Never heard of it,"Soon, but not as fast as possible",strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Top Misconception: We can predict and control how AI will work.,,
2024-08-16 13:28:33,7,3820,100,TRUE,Agree,Discord/Slack/other DM,AI safety researcher or professional,,0,Know it well,Know it well,Never heard of it,Never heard of it,Know it well,Know it well,Know it well,Never heard of it,"Soon, but not as fast as possible",strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,"Things along the lines of:
- China doesn't care about AI x-risk.
- We are surely on an exponentially worse track with AI x-risk if China gets AGI first.
- The world will almost surely become a dystopia if China gets AGI first.
etc
(To be clear, I think weaker version of those statements are plausible, e.g. the world is somewhat more likely to become a dystopia if China gets AGI first, but I think most Western people's beliefs on how much worse China is in terms of AI safety are WAY TOO disproportionate.)",I would be extremely surprised if robustly tamperproofing open models turned out to be technically feasible.,
2024-08-16 13:56:12,11,5984,100,TRUE,Agree,Discord/Slack/other DM,AI safety researcher or professional,,1,Know a fair amount,Know it well,Know it well,Know a fair amount,Know it well,Know it well,Know it well,Know a fair amount,"Eventually, but not soon.",strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,strongly disagree,Somewhat disagree,strongly disagree,Strongly agree,Somewhat disagree,strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,"That it stems from rogue AI, and not slow structural harms to society that accumulate (e.g. fake news undermine a common view of the world, AI automation increases inequality, autonomous weapons lead to more military confrontation, ...)","The reading provides hand wavy intuition pumps about future technologies, which currently are speculative. It is unclear how these technologies will impact the offense defense balance.",
2024-08-16 20:27:54,13,530,100,TRUE,Agree,Discord/Slack/other DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2,Know a fair amount,Know a fair amount,Never heard of it,Heard of it,Know a little,Heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat disagree,Strongly agree,strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat disagree,,,
2024-08-10 16:07:30,0,73,18,FALSE,Agree,Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17 17:28:05,11,283,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,5,Know it well,Know it well,Know it well,Know a fair amount,Know it well,Know a fair amount,Know a fair amount,Never heard of it,"Eventually, but not soon.",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,It is more likely that evil people use AI to do bad things in the current stage.,,
2024-08-17 18:59:25,9,245,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,7,Know it well,Know it well,Know a fair amount,Know a fair amount,Know it well,Know it well,Know a little,Know a little,We should develop more powerful and more general systems as fast as possible,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,
2024-08-17 20:52:31,9,932,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,10,Know it well,Know it well,Know a fair amount,Know it well,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"That a future agi is using methods developed right now - it follows that ai alignment methods currently developed will not be applicable per se. Also, the mentioned catastrophic risk is in my opinion much more in the future than made out: these concerns (here about agi) are not different in nature than during previous AI-hype cycles (see eg deep blue). This claudes a reasonable discussion about these risks.","That AGI is seemingly ""around the corner"".",
2024-08-18 0:00:54,13,289,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,20,Know a fair amount,Know it well,Know a little,Know it well,Know a little,Know a little,Know a fair amount,Know a little,"Soon, but not as fast as possible",Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,
2024-08-18 3:46:22,7,436,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know it well,Know a little,Know a little,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,strongly disagree,strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,strongly disagree,strongly disagree,Strongly agree,,,
2024-08-18 4:08:23,13,792,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know it well,Know it well,Know a little,Heard of it,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,strongly disagree,Strongly agree,strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,strongly disagree,Somewhat disagree,Strongly agree,,,
2024-08-18 4:56:35,11,2321,100,TRUE,Agree,LinkedIn DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know a little,Know it well,Know a little,Know it well,Know a fair amount,Know it well,Know it well,Heard of it,"Eventually, but not soon.",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,
2024-08-18 7:20:38,13,491,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,5,Know it well,Know it well,Know a fair amount,Heard of it,Know a little,Heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,
2024-08-18 13:14:56,0,177,100,TRUE,Agree,Email,4,,0,Know a little,Know a little,Know a little,Know a little,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,
2024-08-18 13:27:22,9,280,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,4,Know it well,Know it well,Know a fair amount,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Strongly agree,Neither agree nor disagree,strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,
2024-08-18 12:58:34,7,10125,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know it well,Know it well,Know a fair amount,Know a little,Know it well,Know a fair amount,Heard of it,Heard of it,"Eventually, but not soon.",Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,
2024-08-18 16:20:28,9,689,100,TRUE,Agree,Email,Industry engineer or researcher in AI/ML/related field,,1,Know it well,Know it well,Know a little,Know a fair amount,Know a little,Know a fair amount,Never heard of it,Never heard of it,"Soon, but not as fast as possible",strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,strongly disagree,Neither agree nor disagree,Strongly agree,strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,People think AI will take over humans. But I believe that other humans misusing AI is far more dangerous as we don't have the proper laws and regulation in place.,The cautious optimism the passage ends with can make it seem unconvincing towards the end.,
2024-08-18 17:42:57,7,169,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,10,Know it well,Know a fair amount,Know a little,Know a little,Know a fair amount,Heard of it,Never heard of it,Never heard of it,We should never build AGI,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,strongly disagree,Strongly agree,,,
2024-08-18 18:32:09,7,424,100,TRUE,Agree,Discord/Slack/other DM,4,,0,Know a little,Know a fair amount,Never heard of it,Heard of it,Heard of it,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat disagree,Somewhat disagree,Somewhat agree,strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,strongly disagree,Neither agree nor disagree,strongly disagree,Somewhat agree,,,
2024-08-18 18:27:07,13,855,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,4,Know a fair amount,Know a fair amount,Know a little,Heard of it,Heard of it,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,strongly disagree,Strongly agree,,,
2024-08-18 19:25:39,11,520,100,TRUE,Agree,Discord/Slack/other DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,0.5,Know a little,Know it well,Never heard of it,Never heard of it,Know a fair amount,Heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Elon Musk's X (formerly known as Twitter) tweets,,
2024-08-18 19:55:43,0,118,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2,Know a fair amount,Know a fair amount,Know a fair amount,Know a fair amount,Know a fair amount,Know a fair amount,Know a fair amount,Know a fair amount,We should develop more powerful and more general systems as fast as possible,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,
2024-08-10 19:22:47,13,95292,18,FALSE,Agree,Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18 21:54:16,13,107,100,TRUE,Agree,Email,4,,1,Know a little,Know a little,Heard of it,Heard of it,Heard of it,Heard of it,Heard of it,Heard of it,We should develop more powerful and more general systems as fast as possible,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,
2024-08-18 22:08:37,9,298,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,1,Know it well,Know it well,Heard of it,Know a little,Never heard of it,Heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Somewhat agree,Somewhat agree,Somewhat agree,strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,,,,,,,,,,
2024-08-18 22:40:33,11,121,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2.5,Know it well,Know it well,Know a little,Know a fair amount,Know a little,Know a little,Heard of it,Heard of it,"Eventually, but not soon.",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,
2024-08-18 22:58:45,7,1932,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know a fair amount,Know a fair amount,Know a little,Know a fair amount,Heard of it,Heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",strongly disagree,strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,strongly disagree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,strongly disagree,Strongly agree,AGI will develop their own consciousness and try to eliminate humans like many movies. ,"The words Biderman said about ""correct intervention being only on the training data"" are the most implausible. For instance, chatGPT is trained by reinforcement learning from human feedback. This is not manifested only in the training data but also in human intervention in the model. ",
2024-08-19 6:31:46,7,491,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2,Know it well,Know it well,Know a fair amount,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,
2024-08-19 10:18:00,13,349,100,TRUE,Agree,Email,AI safety researcher or professional,,5,Know it well,Know it well,Know it well,Know a fair amount,Know a fair amount,Know a little,Know a little,Know a little,"Eventually, but not soon.",Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,
